symbol,name,sector,nse_industry,price,currency,market_cap,trailing_pe,price_to_book,dividend_yield,fifty_two_week_low,fifty_two_week_high,beta,status
ABB,ABB India Ltd.,Industrials,Capital Goods,6867.0,INR,1455174713344,93.901276,18.5704,0.58,4637.5,7822.5,0.522,ok
ADANIENSOL,Adani Energy Solutions Ltd.,Utilities,Power,1671.6,INR,2008064065536,90.161804,7.897198,,744.9,1712.0,0.841,ok
ADANIENT,Adani Enterprises Ltd.,Energy,Metals & Mining,3168.0,INR,4507979743232,42.455105,5.0604525,0.04,1753.0,3245.0,0.825,ok
ADANIGREEN,Adani Green Energy Ltd.,Utilities,Power,1543.8,INR,2542910570496,160.31152,13.182478,,765.0,1589.1,1.159,ok
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Industrials,Services,1843.3,INR,4246887727104,31.655504,4.4257436,0.42,1290.5,1891.1,0.512,ok
ADANIPOWER,Adani Power Ltd.,Utilities,Power,219.98,INR,4242247254016,33.229607,6.53283,,110.45,254.2,0.527,ok
AMBUJACEM,Ambuja Cements Ltd.,Basic Materials,Construction Materials,437.0,INR,1085865066496,22.583979,1.8201128,0.47,394.0,624.95,0.132,ok
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,8823.5,INR,1268683898880,65.45623,13.379684,0.23,6696.5,8950.0,0.179,ok
ASIANPAINT,Asian Paints Ltd.,Basic Materials,Consumer Durables,2685.2,INR,2574151581696,59.420227,12.051685,1.03,2115.0,2985.7,0.304,ok
DMART,Avenue Supermarts Ltd.,Consumer Defensive,Consumer Services,4068.4,INR,2653597466624,88.251625,10.82171,,3529.0,4949.5,0.192,ok
AXISBANK,Axis Bank Ltd.,Financial Services,Financial Services,1315.7,INR,4093031481344,15.577788,1.9017429,0.08,1042.5,1418.3,0.422,ok
BAJAJ-AUTO,Bajaj Auto Ltd.,Consumer Cyclical,Automobile and Auto Components,10180.5,INR,2843126005760,26.497917,7.3275375,1.48,7858.5,10834.0,0.689,ok
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,Financial Services,1012.9,INR,6298087194624,33.418015,5.5237446,0.53,787.9,1102.5,0.353,ok
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Services,1904.7,INR,3045107171328,31.209242,3.9031696,0.07,1597.0,2195.0,0.341,ok
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,Financial Services,10650.0,INR,1185275838464,12.2956505,1.6201147,1.55,8588.0,14763.0,0.126,ok
BANKBARODA,Bank of Baroda,Financial Services,Financial Services,248.65,INR,1285859180544,6.369108,0.77522886,3.54,230.81,325.5,0.421,ok
BEL,Bharat Electronics Ltd.,Industrials,Capital Goods,413.3,INR,3021131481088,49.97581,12.594082,1.07,361.2,473.45,0.248,ok
BPCL,Bharat Petroleum Corporation Ltd.,Energy,Oil Gas & Consumable Fuels,311.35,INR,1330269388800,5.0691957,1.328438,6.59,266.6,391.65,0.891,ok
BHARTIARTL,Bharti Airtel Ltd.,Communication Services,Telecommunication,1915.5,INR,11950149861376,43.171062,7.5126486,0.85,1740.5,2174.5,0.016,ok
